AFP,Development_platform,Language_Type,Resource_Level,Effort
281,MF,3GL,1,4030
2000,Multi,4GL,1,29600
597,MF,3GL,1,7252
92,MF,3GL,4,1259
415,Multi,4GL,1,7271
457,MR,4GL,1,5493
1689,PC,4GL,1,16896
83,Multi,3GL,1,855
205,MF,3GL,1,2286
127,MF,3GL,1,1536
133,PC,3GL,1,1609
202,MF,3GL,1,2464
422,MR,ApG,1,5444
51,Multi,4GL,1,664
100,MF,3GL,1,1572
133,MF,3GL,1,1769
502,MF,4GL,1,6978
218,MF,4GL,1,3074
633,Multi,4GL,4,9432
234,MF,3GL,1,2640
277,Multi,3GL,1,4034
228,MF,3GL,2,2877
153,MF,3GL,4,1609
116,MF,4GL,1,1328
85,MR,4GL,1,923
111,PC,3GL,1,1275
202,MF,3GL,1,2464
142,Multi,4GL,1,1780
236,MF,3GL,2,3003
173,MR,3GL,1,2301
133,Multi,3GL,1,1769
224,MF,3GL,1,3016
355,MF,3GL,4,4790
218,MF,3GL,1,3074
76,Multi,3GL,1,1151
82,Multi,4GL,1,1174
405,PC,4GL,1,5917
95,PC,3GL,1,1044
192,MR,4GL,1,2264
331,PC,4GL,1,4172
1153,Multi,4GL,1,16532
