AFP,Development_platform,Language_Type,Resource_Level,Effort
351,PC,3GL,1,7364
502,MF,4GL,1,9296
846,MF,3GL,2,16179
171,MR,ApG,1,2853
231,MF,3GL,1,4116
498,Multi,3GL,1,8227
32,MF,4GL,1,498
324,Multi,3GL,1,5078
53,MF,3GL,1,849
1810,MF,ApG,1,29399
296,PC,3GL,4,5432
196,MF,3GL,4,3195
159,MF,3GL,1,3084
281,Multi,4GL,1,5048
213,MF,4GL,4,4044
445,Multi,3GL,4,8499
969,MF,3GL,4,15300
98,MF,3GL,2,1562
317,PC,3GL,1,5324
1208,PC,3GL,1,21054
130,PC,4GL,1,2317
1106,MF,3GL,1,19034
133,MF,4GL,1,2428
129,MF,3GL,1,2372
1809,MF,3GL,1,33140
176,PC,3GL,1,3348
777,MF,3GL,1,17286
877,MR,3GL,4,15241
184,MR,4GL,1,3393
354,MF,2GL,1,5863
436,Multi,3GL,1,7762
514,MF,3GL,1,9572
403,MR,3GL,2,7500
194,Multi,3GL,1,4027
869,MF,3GL,2,16210
599,PC,3GL,1,9058
202,MF,3GL,1,3308
302,Multi,3GL,1,5038
152,MF,4GL,1,2569
176,MF,3GL,1,2811
146,MR,3GL,1,2604
163,MF,4GL,1,3234
283,PC,3GL,1,5039
550,MF,3GL,1,9296
444,Multi,3GL,1,28923
179,MF,3GL,2,3358
59,Multi,3GL,1,1278
265,MF,3GL,1,5233
30,MF,3GL,2,621
396,PC,3GL,4,8228
196,MF,3GL,1,3872
475,MF,3GL,1,8328
44,Multi,4GL,1,772
77,MF,3GL,4,1350
266,Multi,3GL,1,5657
397,MF,4GL,1,8987
138,MF,4GL,1,3540
1973,Multi,4GL,1,38095
94,PC,3GL,1,1830
362,MR,3GL,1,8543
53,MR,3GL,1,1620
1253,MF,3GL,2,18920
185,PC,4GL,1,3823
105,Multi,3GL,1,1828
67,MR,3GL,1,1355
939,Multi,3GL,1,14880
1117,MR,3GL,1,18240
424,Multi,3GL,1,6944
242,PC,4GL,1,4067
465,MF,ApG,1,7856
494,MF,3GL,1,8706
